xiiMaterialResourceSlot;Material Slot
xiiDecalMode::BaseColorEmissive;BaseColor, Emissive
MeshImport.WithMaterials;Mesh and Materials
MeshImport.NoMaterials;Mesh only
DecalImport.All;Decal
CubemapImport.Skybox;Skybox
CubemapImport.SkyboxHDR;HDR Skybox
SkeletonImport;Animation Skeleton
AnimationClipImport;Animation Clip
xiiRenderTargetFormat::RGBA8;RGBA8 (linear)
xiiRenderTargetFormat::RGBA8sRgb;RGBA8 (sRGB)
xiiRenderTargetFormat::RGB10;RGB10
xiiRenderTargetFormat::RGBA16;RGBA16
xiiSkeletonJointGeometryType::None;None
xiiSkeletonJointGeometryType::Capsule;Capsule
xiiSkeletonJointGeometryType::Sphere;Sphere
xiiSkeletonJointGeometryType::Box;Box
xiiSkeletonComponent;Skeleton;;https://xiiengine.net/pages/docs/animation/skeletal-animation/skeleton-component.html
BoolParameters;Bool Variables
NumberParameters;Number Variables
StringParameters;String Variables
xiiVisualScriptParameterNumber;Number Variable
xiiVisualScriptParameterBool;Bool Variable
xiiVisualScriptParameterString;String Variable
xiiRootMotionExtractionMode::None;None
xiiRootMotionExtractionMode::Custom;Custom
xiiRootMotionExtractionMode::FromFeet;From Feet
xiiRootMotionExtractionMode::AvgFromFeet;Average From Feet
xiiTexConvCompressionMode::None;Uncompressed
xiiTexConvCompressionMode::Medium;Medium Compression
xiiTexConvCompressionMode::High;Strong Compression
xiiTexConvMipmapMode::None;No Mipmaps
xiiTexConvMipmapMode::Linear;Generate: Linear
xiiTexConvMipmapMode::Kaiser;Generate: Kaiser
MipmapMode;Mipmaps
CompressionMode;Compression
TextureFilter;Filtering
AddressModeU;Address Mode U
AddressModeV;Address Mode V
AddressModeW;Address Mode W
ChannelMapping;Channel Mapping
FlipHorizontal;Flip Horizontal
PremultipliedAlpha;Premultiply Alpha
xiiImageAddressMode::Repeat;Repeat
xiiImageAddressMode::Clamp;Clamp
xiiImageAddressMode::ClampBorder;Clamp to Black
xiiImageAddressMode::Mirror;Mirror
xiiTexConvUsage::Auto;Auto
xiiTexConvUsage::Color;Color
xiiTexConvUsage::Linear;Linear
xiiTexConvUsage::Hdr;HDR
xiiTexConvUsage::NormalMap;Normal Map
xiiTexConvUsage::NormalMap_Inverted; Normal Map (inverted)
xiiTexConvUsage::BumpMap;Bump Map
xiiColorAnimationComponent;Color Animation;;https://xiiengine.net/pages/docs/animation/property-animation/color-animation-component.html
xiiJointAttachmentComponent;Joint Attachment;;https://xiiengine.net/pages/docs/animation/skeletal-animation/joint-attachment-component.html
AnimatedMeshImport.NoMaterials;Animated Mesh only
AnimatedMeshImport.WithMaterials;Animated Mesh and Materials
Length;Length
Thickness;Thickness
Width;Width
Input1;Input1
AvailableClips;Available Clips
Common.Pause;Pause
Common.Restart;Restart
Common.Loop;Loop
Common.Grid;Grid
Common.Visualizers;Visualizers
Common.Speed.01;10%
Common.Speed.025;25%
Common.Speed.05;50%
Common.Speed.1;100%
Common.Speed.15;150%
Common.Speed.2;200%
Common.Speed.3;300%
Common.Speed.4;400%
Common.Speed.5;500%
Common.Speed.10;1000%
xiiComparisonOperator::Equal;=
xiiComparisonOperator::NotEqual;<>
xiiComparisonOperator::Less;<
xiiComparisonOperator::LessEqual;<=
xiiComparisonOperator::Greater;>
xiiComparisonOperator::GreaterEqual;>=
AnimRamp;Animation Fade
RootBones;Root Bones
xiiCombinePosesAnimNode;Combine Poses
xiiSetBlackboardValueAnimNode;Blackboard: Set Value
xiiCheckBlackboardValueAnimNode;Blackboard: Check Value
xiiGetBlackboardNumberAnimNode;Blackboard: Get Value
xiiControllerInputAnimNode;Controller Input
xiiPlayClipAnimNode;Play Animation Clip
xiiModelPoseOutputAnimNode;Model Pose Output
xiiBoneWeightsAnimNode;Bone Weight Config
xiiLocalToModelPoseAnimNode;Local To Model Pose
xiiEventAnimNode;Send Event
xiiLogicAndAnimNode;Logic AND
xiiLogicOrAnimNode;Logic OR
xiiLogicNotAnimNode;Logic NOT
Common.Speed.Menu;Speed
xiiRootMotionSource::None;No Root Motion
xiiRootMotionSource::Constant;Constant Motion
xiiCompareNumberAnimNode;Compare Value
xiiMathExpressionAnimNode;Math Expression
xiiMixClips1DAnimNode;Mix Clips 1D
xiiMixClips2DAnimNode;Mix Clips 2D
Clips;Clips
xiiAnimClip2D;Clip
xiiPlaySequenceAnimNode;Play Clip Sequence
Common;Common
MiddleClips;Middle Clips
xiiLogAnimNode;Log
CustomAction_CreateShaderFromTemplate;Create Shader From Template...
MaterialAsset.Model;Preview Model
xiiMaterialAssetPreview::Ball;Ball
xiiMaterialAssetPreview::Sphere;Sphere
xiiMaterialAssetPreview::Box;Box
xiiMaterialAssetPreview::Plane;Plane
Skeleton.RenderBones;Render Bones
Skeleton.RenderColliders;Render Colliders
Skeleton.RenderJoints;Render Joints
Skeleton.RenderSwingLimits;Render Swing Limits
Skeleton.RenderTwistLimits;Render Twist Limits
BoneShapes;Shapes
xiiEditableSkeletonBoneShape;Shape
Radius;Radius
Animated Mesh;Animated Mesh
Animation Clip;Animation Clip
Animation Controller;Animation Controller
Collection;Collection
ColorGradient;Color Gradient
Curve1D;Curve 1D
Decal;Decal
Image Data;Image Data
LUT;Lookup Table
Layer;Scene Layer
Material;Material
Mesh;Mesh
Prefab;Prefab
PropertyAnim;Property Animation
Render Target;Render Target
RenderPipeline;Render Pipeline
Scene;Scene
Skeleton;Skeleton
Surface;Surface
Texture 2D;Texture 2D
Texture Cube;Texture Cube
Visual Script;Visual Script
StateMachine;State Machine
xiiStateMachineNode;New State
xiiStateMachineNodeAny;New Any State
xiiStateMachineState_SendMsg;Send Message State
xiiStateMachineState_NestedStateMachine;Nested State Machine
xiiStateMachineState_Compound;Compound State
xiiStateMachineTransition_BlackboardConditions;Blackboard Conditions
xiiStateMachineTransition_Timeout;Timeout Transition
xiiStateMachineTransition_Compound;Compound Transition
xiiStateMachineLogicOperator::And;AND
xiiStateMachineLogicOperator::Or;OR
Type;Type
Conditions;Conditions
xiiBlackboardCondition;Blackboard Condition
SubStates;Sub States
SubTransitions;Sub Transitions
